Length:   Width:    Color:    
0.75      0.94      blue      
1.44      1.33      red       
0.8       0.74      blue      
1.34      0.76      blue      
2.2       1.12      red       
1.63      1.22      red       
1.63      1.51      red       
0.76      0.89      blue      
2.44      1.25      red       
0.77      0.66      blue      
1.04      0.9       blue      
2.1       1.35      red       
1.65      1.47      red       
0.43      1.1       blue      
0.94      0.95      blue      
1.17      0.93      blue      
0.39      1.0       blue      
1.03      0.55      blue      
2.03      1.52      red       
3.16      1.31      red       
0.76      1.04      blue      
0.46      0.8       blue      
2.33      1.37      red       
0.58      0.54      blue      
1.21      1.3       red       
0.65      0.5       blue      
1.98      1.41      red       
1.66      1.52      red       
1.05      1.23      red       
1.08      0.56      blue      
1.06      1.24      red       
0.83      0.9       blue      
1.36      0.94      blue      
0.58      0.61      blue      
1.45      1.52      red       
1.25      1.25      red       
1.58      1.44      red       
2.72      1.07      red       
0.93      0.71      blue      
0.44      1.08      blue      
2.51      1.3       red       
2.42      1.61      red       
1.4       1.64      red       
2.66      1.5       red       
1.18      1.42      blue      
2.77      1.13      red       
1.17      1.25      red       
3.2       1.21      red       
1.3       0.85      blue      
2.24      1.36      red       
2.45      1.1       red       
0.93      0.79      blue      
3.0       1.44      red       
1.74      1.42      red       
1.38      0.62      blue      
1.43      1.5       red       
1.08      0.43      blue      
2.1       1.44      red       
1.28      0.84      blue      
2.05      1.38      red       
0.83      0.95      blue      
1.96      1.39      red       
0.99      0.81      blue      
0.69      1.09      blue      
1.34      1.31      red       
0.6       1.0       blue      
0.87      0.54      blue      
0.58      0.64      blue      
0.96      0.84      blue      
0.5       0.99      blue      
1.9       1.41      red       
1.33      0.61      blue      
1.36      0.7       blue      
1.35      0.83      blue      
2.32      1.26      red       
1.17      1.42      red       
3.25      1.21      red       
3.19      1.37      red       
1.45      1.24      red       
2.38      1.04      red       
3.47      1.67      red       
0.81      0.74      blue      
3.08      1.47      red       
1.43      0.86      blue      
0.62      0.53      blue      
2.09      1.51      red       
0.51      0.65      blue      
1.33      1.48      red       
2.07      1.3       red       
0.68      0.71      blue      
0.53      0.72      blue      
2.21      1.26      red       
1.03      0.95      blue      
1.85      1.31      red       
1.31      1.62      red       
2.22      1.37      red       
2.64      1.43      red       
1.52      1.4       red       
1.08      1.33      blue      
0.69      0.87      blue      
1.0       1.1       blue      
0.73      1.02      blue      
2.76      1.38      red       
1.08      1.33      red       
1.15      1.03      blue      
1.14      0.7       blue      
2.11      1.64      red       
1.12      1.01      blue      
2.78      1.48      red       
1.15      0.62      blue      
1.04      1.09      blue      
0.95      0.84      blue      
0.93      0.84      blue      
1.38      0.86      blue      
1.16      1.11      blue      
1.91      1.19      red       
2.82      1.36      red       
1.16      1.15      blue      
3.16      1.36      red       
0.88      0.88      blue      
0.84      1.27      blue      
2.23      1.45      red       
1.02      1.47      red       
2.76      1.21      red       
0.51      1.02      blue      
1.27      1.18      red       
1.77      1.14      red       
2.83      1.35      red       
0.65      0.92      blue      
0.8       0.87      blue      
1.94      1.44      red       
2.66      1.37      red       
1.35      1.19      blue      
0.82      1.16      blue      
1.03      0.53      blue      
0.87      0.95      blue      
0.97      0.82      blue      
1.68      0.42      blue      
2.13      1.14      red       
0.69      0.74      blue      
2.46      1.5       red       
1.7       1.62      red       
2.08      1.59      red       
0.98      1.01      blue      
1.53      1.67      red       
0.91      0.84      blue      
0.77      1.08      blue      
1.19      1.32      red       
1.0       0.8       blue      
1.82      1.2       red       
2.71      1.43      red       
2.16      1.63      red       
1.8       1.42      red       
0.73      1.12      blue      
2.43      1.25      red       
1.24      1.23      red       
0.83      1.05      blue      
1.59      1.27      blue      
